Date,Open,High,Low,Close,Volume
14/07/14,23447,23599,23200,23491,793293
14/07/15,23301,23721,23139,23600,624718
14/07/16,23600,24050,23417,23624,861656
14/07/17,23790,23895,23472,23550,495934
14/07/18,23300,23649,23200,23500,638968
14/07/21,23512,23798,23400,23735,722075
14/07/22,23800,23938,23499,23701,490951
14/07/23,23640,24098,23545,24010,1089757
14/07/24,24025,24323,23801,24240,913801
14/07/25,24230,24244,23870,23944,873424
14/07/28,23976,24436,23976,24229,362120
14/07/29,24500,24540,24268,24537,454763
14/07/30,24550,24550,23799,23799,674649
14/07/31,23800,23800,23360,23400,1004723
14/08/01,23360,23572,23001,23239,1674036
14/08/04,23300,23799,23178,23790,1195451
14/08/05,23900,24120,23699,24010,2234005
14/08/06,23910,24025,23441,23654,2191171
14/08/07,23481,23754,23251,23650,1442323
14/08/08,23250,23650,22550,23650,1777795
14/08/11,23650,24076,23632,23970,1231499
14/08/12,23970,24045,23769,23995,450182
14/08/13,23995,24095,23929,24053,811533
14/08/14,23845,24335,23845,24000,2646044
14/08/15,23994,23994,23500,23526,360000
14/08/18,23445,23665,23201,23355,633693
14/08/19,23500,23540,22990,23347,1419901
14/08/20,23000,23425,22650,23130,1034384
14/08/21,23160,23615,23083,23450,420557
14/08/22,23411,23599,23183,23325,431727
14/08/25,23561,23718,23263,23718,299746
14/08/26,23521,23796,23413,23750,352844
14/08/27,23600,23850,23299,23496,297116
14/08/28,23400,23541,23176,23300,546605
14/08/29,23300,23491,22870,22870,712467
14/09/01,22899,23104,22870,23075,501741
14/09/02,23075,23235,23010,23150,847540
14/09/03,23299,23549,23164,23390,601101
14/09/04,23329,23711,23200,23680,471967
14/09/05,23726,23899,23228,23470,335419
14/09/08,23100,23344,23001,23206,621720
14/09/09,23238,23238,22617,22890,517750
14/09/10,22890,22953,22701,22900,277012
14/09/11,22800,23098,22675,22792,426455
14/09/12,22725,22737,22337,22395,784406
14/09/15,22325,22530,22183,22440,779975
14/09/16,22440,22980,22354,22910,914212
14/09/17,23000,23000,22501,22560,507050
14/09/18,22700,22949,22607,22949,1227756
14/09/19,22999,23130,22780,23000,792868
14/09/22,22947,22947,22357,22359,766313
14/09/23,22300,22512,21799,21900,752302
14/09/25,21972,22287,21731,21835,1815703
14/09/26,21704,22288,21701,22204,956617
14/09/29,22290,22290,21860,21980,840463
14/09/30,21920,22054,21839,21888,843020
14/10/01,21760,22095,21687,21792,892491
14/10/02,21612,21796,21400,21400,670267
14/10/03,21501,21734,21400,21510,594637
14/10/06,21770,21998,21313,21751,552012
14/10/07,21580,21892,21306,21568,536215
14/10/08,21303,21558,21296,21300,778006
14/10/09,21653,21702,21459,21588,1951907
14/10/10,21350,21579,21227,21470,1174518
14/10/13,21409,21978,21251,21743,1024184
14/10/14,21750,22000,21479,21906,963769
14/10/15,21891,21974,21100,21484,863005
14/10/16,21519,21690,21194,21550,1625876
14/10/17,21592,22273,21592,21913,1231613
14/10/20,21920,22141,21802,21802,1207023
14/10/21,21649,22338,21501,22187,1601799
14/10/22,22225,22648,22020,22198,594077
14/10/23,22145,22246,21701,22100,325566
14/10/24,21991,22265,21900,22119,214554
14/10/27,22150,22660,22150,22455,400186
14/10/28,22920,22920,22240,22750,462112
14/10/29,22876,23490,22856,23490,921152
14/10/30,23499,23645,23114,23439,729582
14/10/31,23660,24150,23660,24024,714480
14/11/03,24001,24125,23390,24067,445498
14/11/04,24000,24439,23620,23700,424649
14/11/05,23800,23894,23122,23188,953809
14/11/06,23111,23501,23034,23410,852648
14/11/07,23316,23593,23035,23220,751119
14/11/10,23769,23799,23201,23500,1364790
