Date,Open,High,Low,Close,Volume
14/04/30,20453,21200,20453,21200,43306
14/05/02,20950,21145,20500,20778,20177
14/05/05,20500,21075,20202,20700,16171
14/05/06,20093,20701,20052,20600,22229
14/05/08,20750,20999,20602,20999,32805
14/05/09,20850,20850,20112,20650,7457
14/05/12,20401,20725,20200,20400,6697
14/05/13,20249,20758,20106,20758,8410
14/05/14,20429,20978,20429,20800,39065
14/05/15,21000,21000,20795,20823,21318
14/05/16,20801,20961,20800,20835,13673
14/05/19,20850,21499,20850,21200,24612
14/05/20,21149,21384,20900,21092.64,16860
14/05/21,20665,22530,20665,22000,39626
14/05/22,21510,22001,21510,21594,40089
14/05/23,21084,21979,21084,21650,4531
14/05/26,21650,21982,21650,21934,2031
14/05/27,21900,21994,21055,21700,71405
14/05/28,21682,21899,20600,21788,6716
14/05/29,21590,21833,21550,21808,5461
14/05/30,21699,21809,20867,21400,14743
14/06/02,21432,21778,20855,21414,16117
14/06/03,20879,21743,20850,21200,28378
14/06/04,21120,21691,20735,21300,7482
14/06/05,21138,21500,19555,19555,19525
14/06/06,20700,21280,20304,20799,67567
14/06/09,21519,21520,20451,20600,14151
14/06/10,21655,21655,20200,20351,40958
14/06/11,20351,20372,19956,20000,38712
14/06/12,20100,20395,19490,20110,27548
14/06/13,20500,20500,19800,19800,12041
14/06/17,19500,20500,19500,19993,20023
14/06/18,20455,20455,19537,19537,4796
14/06/19,19711,20127,19610,19799,111316
14/06/20,19799,19850,19401,19401,30249
14/06/23,20010,20110,19250,19595,17258
14/06/24,19635,19744,19500,19626,43286
14/06/25,19521,19723,19500,19500,16437
14/06/26,19499,19500,19351,19450,28703
14/06/27,19434,19435,19200,19200,46615
14/06/30,19222,19500,19050,19500,40096
14/07/01,19050,19461,19050,19300,17449
14/07/02,19298,19365,19013,19300,52369
14/07/03,19300,19500,19251,19439,19236
14/07/04,19441,20320,19441,20000,43484
14/07/07,20458,20458,20123,20433,8654
14/07/08,20200,20408,20121,20408,14171
14/07/09,20367,20385,20210,20212,1427
